symbol,year,Volume,marketCap,country,std_rel
OUT,2020,2055394.466403162,2954.1360451325,0.0,2.1797949166419106
OUT,2021,1502000.0,2890.542864545,0.0,1.7559034612325237
OUT,2022,1769976.4940239044,3668.818,0.0,1.5540711372571459
OUT,2023,2459223.2,2618.89325,0.0,2.227522822981157
OUT,2024,1753234.3915343916,2230.157333333333,0.0,1.9161288796342897
OVID,2017,73907.8313253012,243.83271598666667,0.0,13.288278812923856
OVID,2018,81825.89641434263,202.9774216733333,0.0,5.2638745179326225
OVID,2019,515180.55555555556,85.821620885,0.0,6.040122973140509
OVID,2020,1131356.9169960474,223.8482342275,0.0,3.976933343575636
OVID,2021,1381582.142857143,253.24477938,0.0,2.5261494838412037
OVID,2022,150492.43027888445,202.7435200525,0.0,1.7003824577513147
OVID,2023,162459.2,168.45786139,0.0,2.875401802634489
OVID,2024,429713.7566137566,239.10129923666668,0.0,4.768913658162326
OVLY,2004,3100.0,49.933563565,0.0,2.1567447754392473
OVLY,2005,1731.845238095238,95.51549401333334,0.0,1.7947055372627352
OVLY,2006,1154.780876494024,107.245062355,0.0,2.753458091600858
OVLY,2007,1867.7290836653387,70.67485,0.0,1.89375316617781
OVLY,2008,1035.1778656126482,53.4458252,0.0,1.9593256293587087
OVLY,2009,2024.6031746031747,35.058870325,0.0,2.4587830512735147
OVLY,2010,1871.031746031746,36.81107188,0.0,1.958575158234694
OVLY,2011,2291.2698412698414,41.9915646725,0.0,1.2830194202894003
OVLY,2012,2346.4,54.288898100000004,0.0,3.0498117484361953
OVLY,2013,3327.3809523809523,59.129381304000006,0.0,1.833346072157148
OVLY,2014,3599.6031746031745,76.555112535,0.0,1.568235703223844
OVLY,2015,6046.825396825397,79.529203455,0.0,1.909430721152178
OVLY,2016,2761.904761904762,77.82810559,0.0,1.2561576885555341
OVLY,2017,3186.0557768924305,100.2336624,0.0,2.5187284940275347
OVLY,2018,11123.505976095617,163.878934995,0.0,2.501159052293497
OVLY,2019,6833.333333333333,153.57771613333333,0.0,1.8227348592613069
OVLY,2020,8269.565217391304,131.1129889,0.0,2.139138764673133
OVLY,2021,18495.238095238095,128.939189475,0.0,1.3487850736599014
OVLY,2022,7917.92828685259,143.55177774999999,0.0,0.8289257147924801
OVLY,2023,26229.2,182.8184718675,0.0,1.4479774932045946
OVLY,2024,12566.666666666666,216.34260192333332,0.0,1.8773123792904833
OXM,2004,132483.73015873015,592.2993558025,0.0,1.9681016554148456
OXM,2005,170900.79365079364,678.275983,0.0,2.0143790073206502
OXM,2006,184133.06772908368,824.9370375000001,0.0,2.1758349748588217
OXM,2007,211898.0079681275,815.881255,0.0,2.1947114268478196
OXM,2008,216959.6837944664,402.90759,0.0,1.761642683114007
OXM,2009,157493.25396825396,174.5137875,0.0,2.495841395784554
OXM,2010,142313.88888888888,330.67893749999996,0.0,2.6186803877582085
OXM,2011,201431.3492063492,497.67710250000005,0.0,2.3571808917208164
OXM,2012,150995.6,753.4812000000001,0.0,2.0282706993028543
OXM,2013,104747.61904761905,959.9480275,0.0,1.7972315965368724
